PassengerId,target,Age,SibSp,Parch,Fare,Sex F,Pclass_1,Pclass_2,Pclass_3,probabilidade,classificacao
1,0,22.0,1,0,7.25,0,0,0,1,0.1192619625529914,0
2,1,38.0,1,0,71.2833,1,1,0,0,0.9147356701696177,1
3,1,26.0,0,0,7.925,1,0,0,1,0.5641379054601925,1
4,1,35.0,1,0,53.1,1,1,0,0,0.9104359129151794,1
5,0,35.0,0,0,8.05,0,0,0,1,0.1455961293146845,0
6,0,0.0,0,0,8.4583,0,0,0,1,0.14749836545746717,0
7,0,54.0,0,0,51.8625,0,1,0,0,0.2809742095812716,0
8,0,2.0,3,1,21.075,0,0,0,1,0.2985979488423368,0
9,1,27.0,0,2,11.1333,1,0,0,1,0.547266247376942,1
10,1,14.0,1,0,30.0708,1,0,1,0,0.7669558864066854,1
11,1,4.0,1,1,16.7,1,0,0,1,0.6388328787314461,1
12,1,58.0,0,0,26.55,1,1,0,0,0.6696140118440885,1
13,0,20.0,0,0,8.05,0,0,0,1,0.15239586240258707,0
14,0,39.0,1,5,31.275,0,0,0,1,0.1637946729247037,0
15,0,14.0,0,0,7.8542,1,0,0,1,0.59744107295006,1
16,1,55.0,0,0,16.0,1,0,1,0,0.7586712597241887,1
17,0,2.0,4,1,29.125,0,0,0,1,0.1973958002497011,0
18,1,0.0,0,0,13.0,0,0,1,0,0.32789018499063555,0
19,0,31.0,1,0,18.0,1,0,0,1,0.4760361483006775,0
20,1,0.0,0,0,7.225,1,0,0,1,0.6820530790658369,1
21,0,35.0,0,0,26.0,0,0,1,0,0.18908355805371446,0
22,1,34.0,0,0,13.0,0,0,1,0,0.17336686409178653,0
23,1,15.0,0,0,8.0292,1,0,0,1,0.606692193803788,1
24,1,28.0,0,0,35.5,0,1,0,0,0.38239459967359063,0
25,0,8.0,3,1,21.075,1,0,0,1,0.44121206473859625,0
26,1,38.0,1,5,31.3875,1,0,0,1,0.4127665933299606,0
27,0,0.0,0,0,7.225,0,0,0,1,0.13684221731816426,0
28,0,19.0,3,2,263.0,0,1,0,0,0.3138069038275988,0
29,1,0.0,0,0,7.8792,1,0,0,1,0.6784152161264007,1
30,0,0.0,0,0,7.8958,0,0,0,1,0.14490166966645576,0
31,0,40.0,0,0,27.7208,0,1,0,0,0.32041512206405065,0
32,1,0.0,1,0,146.5208,1,1,0,0,0.9183796616808403,1
33,1,0.0,0,0,7.75,1,0,0,1,0.7022959867480794,1
34,0,66.0,0,0,10.5,0,0,1,0,0.11163353781693018,0
35,0,28.0,1,0,82.1708,0,1,0,0,0.35185345400804535,0
36,0,42.0,1,0,52.0,0,1,0,0,0.2988243646466798,0
37,1,0.0,0,0,7.2292,0,0,0,1,0.1331693489209403,0
38,0,21.0,0,0,8.05,0,0,0,1,0.14955238250339817,0
39,0,18.0,2,0,18.0,1,0,0,1,0.46459315849995675,0
40,1,14.0,1,0,11.2417,1,0,0,1,0.5265538238387357,1
41,0,40.0,1,0,9.475,1,0,0,1,0.4069292090175372,0
42,0,27.0,1,0,21.0,1,0,1,0,0.6536744994057683,1
43,0,0.0,0,0,7.8958,0,0,0,1,0.1376533608393233,0
44,1,3.0,1,2,41.5792,1,0,1,0,0.8735162807439428,1
45,1,19.0,0,0,7.8792,1,0,0,1,0.5740804604631989,1
46,0,0.0,0,0,8.05,0,0,0,1,0.14420233380669958,0
47,0,0.0,1,0,15.5,0,0,0,1,0.13635865887536042,0
48,1,0.0,0,0,7.75,1,0,0,1,0.6917962707402677,1
49,0,0.0,2,0,21.6792,0,0,0,1,0.14027095913982174,0
50,0,18.0,1,0,17.8,1,0,0,1,0.47826791295345,0
51,0,7.0,4,1,39.6875,0,0,0,1,0.15060286461284558,0
